"985098311312052224","180414 191154","Rip Entry [Wet Floor] (Testfire Ver.) - Splatoon 2 Music Extended https://youtu.be/9cETiG0_W1c via @YouTube"
"985096162163081216","180414 190321","Splattack! (Squid Squad) - Splatoon Music Extended https://youtu.be/N0h2NsEy9z8 via @YouTube"
"985095301076631552","180414 185956","Remastered Tracks Rockman Zero Mythos : 02 Departure https://youtu.be/EsQI7Q4X8Nc via @YouTube"
"985094499155128320","180414 185645","Remastered Tracks Rockman Zero Mythos : 03 Esperanto https://youtu.be/zRAjiv23A3M via @YouTube"
"985090356654915584","180414 184017","そもそも専門家として専門をどこに置くかって話ですね。フラクタル感。"
"985088259561631744","180414 183157","“解凍先のディレクトリを指定する場合は、下記のようにします。 % unzip http://hoge.zip -d fooこの場合、http://hoge.zipファイルをfooディレクトリに解凍します。” / “unzipでディレクトリを指定して解凍 -…” http://htn.to/38w6KmK"
"985082252911509504","180414 180805","Delvon Lamarr Organ Trio - Warm-up Set (Live on KEXP) https://youtu.be/jhicDUgXyNg via @YouTube"
"985081645580484608","180414 180540","Can't Wait for Perfect - Bob Reynolds Guitar Band (6 of 6) https://youtu.be/0fO6BYuMIeE via @YouTube"
"985080178115133440","180414 175951","Lenny - Stevie Ray Vaughan (Guitar Cover) - Lesson Available (See Descri... https://youtu.be/F_xKzPKQkrk via @YouTube"
"985078728785969152","180414 175405","Slow Dancing In A Burning Room (Live in LA) - John Mayer - Jamie Harriso... https://youtu.be/hoFKNEBWy1k via @YouTube"
"985076620582043648","180414 174542","Neon (John Mayer)- Fingerstyle Arrangement by Todd Pritchard https://youtu.be/KzldA_DU3nk via @YouTube"
"985048439829360640","180414 155344","“Seriesだけだとそれほど便利というわけではないです。たぶん。。。「numpyのndarrayにラベルがつけられるようになったもの」という理解でよいかと。” / “numpyのndarray、pandasのSeriesとDa…” http://htn.to/crSPvJagX"
"985047232926777344","180414 154856","“So the Series is the datastructure for a single column of a DataFrame, not only conceptually, but literally i.e. t… http://htn.to/WQb6HnHR"
"985041835285336064","180414 152729","“【Pandasでエラー】TypeError: pivot_table() got an unexpected keyword argument 'rows' - プロメモグラム” http://htn.to/QMRvUF"
"985017427120422912","180414 135030","そういう意味でもelastic stackは本当に良く出来てる。"
"985017124300111873","180414 134917","間違いない。"
"985016667813036032","180414 134728","データ分析、学べば学ぶほどクローラーやETLやクレンジング技術のほうが大切じゃねって気持ちになる"
"985002513957965824","180414 125114","“You could close and reopen NERDTree or simply hit r to refresh the current directory's listing ” / “vim - NERDTre…” http://htn.to/eq7srw"
"984967781677322240","180414 103313","Beauty Behind The Madness by The Weeknd https://open.spotify.com/album/36yJ6fcaSCVsK1tybnNizj #NowPlaying"
"984780419471065088","180413 220842","Somethin' Special by Myles Jasnowski https://open.spotify.com/album/3TgOkZM4dOniVaGadPV9g7 #NowPlaying"
"984777583685353473","180413 215726","Are You Experienced by Jimi Hendrix https://open.spotify.com/album/719ELjvRzp0lHiLyAuAGj3 #NowPlaying"
"984776988006076416","180413 215504","Bold as Love (Guitar Cover) - Jimi Hendrix/John Mayer - Lesson Available... https://youtu.be/G-wSlIAiEx4 via @YouTube"
"984749473573191681","180413 200544","3件のコメント http://b.hatena.ne.jp/entry/s/inside.dmm.com/entry/2018/04/13/hello-kubernetes#tw?u=kent-where-the-light-is “Kubernetesを始めよう！ - DMM inside” http://htn.to/htzwmwnAzxw"
"984615511660027904","180413 111325","データ分析について考えたことのまとめ | データ分析とインテリジェンス http://analysis-intelligence.net/?no=257 @data_analyst_より"
"984441919131406336","180412 234338","パナマ文書触ろ"
"984362045247115264","180412 182614","“minikubeでローカルKubernetes 1.2/1.3クラスタを5分でつくる方法 - Qiita” http://htn.to/xTjQRiZc"
"984300996691030017","180412 142339","Both Sides of the Sky by Jimi Hendrix https://open.spotify.com/album/0EfHWQeb3T1UJw9KrqN407 #NowPlaying"
"984296024930832384","180412 140354","Band Of Gypsys by Jimi Hendrix https://open.spotify.com/album/0B0Zwfcy4pAY2JAoxIEkR5 #NowPlaying"
"984092926073384961","180412 003651","「PyTorchで学ぶニューラルネットワークと深層学習」サンプルコード集 [Python] on @Qiita https://qiita.com/KentFujii/items/50c7a111eb661cb41f47"
"984088639767326721","180412 001949","これ以上の深層学習の深追いは自分のロールから外れてくるから、あとはETL力と前処理力っすね。"
"984087393237065728","180412 001452","PyTorch本読み終わったし大体わかった。あとはnumpyやtensorの操作になれれば良し。"
"984063973451427840","180411 224148","機械学習もコンピュータービジョンや自然言語処理がスターの様な扱いだけど、本当はもっとインパクトの強い部分に使われてるよね。エンドからは見えない黒子の様な導入例だけども。"
"984003662874861574","180411 184209","k8s! K8s!"
"983703032381648896","180410 224733","The biggest issue with the Elasticsearch is that it has been reported loosing write operations by so many experts. https://mindmajix.com/mongodb-vs-elasticsearch"
"983699834745032706","180410 223451","elasticsearch vs mongodb http://www.ranjeetvimal.com/elasticsearch-vs-mongodb/"
"983690982091767809","180410 215940","母校w 京田辺かな？"
"983681047790419968","180410 212012","本人が無自覚か認知不協和を解消するために発してる差別、「童貞」に限らずどこにでもあるもんだからねー。人間が人間である限り無理だと思うけど、なるべくそういう環境状態から距離をおけるスキルを持ちたいもんだなーって思った。自分も負担させてることもあるけど、ムダな感情労働良くない。"
"983672651162968064","180410 204650","“差別とは言葉が作るものではありません。その言葉を使う人が作るものです。確かに童貞は差別用語ではありませんが、差別的に使えば差別用語になる” / “「童貞」は差別用語なのか？ – TERADRIVE” http://htn.to/hbgLw8"
"983618651256373249","180410 171215","elastic-stack、this is what i wanted for my missionって感じでよさ"
"983617811225260032","180410 170855","“Logstash configtest - Stack Overflow” http://htn.to/b2JWwk"
"983617159833182209","180410 170620","“Use Cases · Elastic Stack Success Stories | Elastic” http://htn.to/mdjf88"
"983356989186064385","180409 235230","個人的に言いたいこと全部書いてあってわろた"
"983356590643232768","180409 235055","“自動車の動作原理を理解するための機械工学や制御工学、また最近は電気自動車にどんどん移行しつつありますから、電気電子工学の知識も必須です。スポーツカーなら、空力抵抗を理解するための航空工学も要るでしょ / “冨山和彦の国立大学へ…” http://htn.to/RhSNV5dJ"
"983355781863981058","180409 234742","クローラーやったりログとったりひたすらデータ集めるマンしてる"
"982649878965731332","180408 010242","エンジニアとビズデブって本来はグラデーションであるべきっすよね。"
"982648784227217408","180408 005821","プロダクト作りはそういう人に任せて自分はそういう人のためのインフラやエコシステム作りに専念していきたい。黒子になる。"
"982601449254273024","180407 215016","“KibanaはElasticsearch、GrafanaはGraphite or InfluxDBを主にバックエンドとしてWebブラウザで動作するダッシュボードツールです。GrafanaがKibanaを参考に作られたそうなので、… http://htn.to/6vsj6s"
"982516256497483778","180407 161144","探索的分析をせずにマシンラーニングするというアンチパターンを人はなぜ犯すのか"
"982515286346575873","180407 160753","個人に役に立つ立たないは置いといてこういうクックブックみたいなのあると楽"
"982510381095518208","180407 154823","“TCPは、セッションという形で1対1の通信を実現し、パケットシーケンスチェックによる欠損パケット再送などのエラー訂正機能などを持ち、データ転送などの信頼性の必要な場面でよく使用される。 一方他のトランスポー / “Transm…” http://htn.to/ygKQ9dr"
